item_id,original_name,released,category,candidate,reason,original_description
box_dainty,Dainty Box,True,box,,Dungeon container mechanic has no matching Cyber Sleuth item.,A box that is dainty and fashionable. There is something tasty inside!
box_deluxe,Deluxe Box,True,box,,Dungeon container mechanic has no matching Cyber Sleuth item.,A box that is extravagant and opulent. It looks like something is inside.
box_glittery,Glittery Box,True,box,,Dungeon container mechanic has no matching Cyber Sleuth item.,A box that glitters with dazzling light. Whatever's inside is sure to sell for a high price!
box_heavy,Heavy Box,True,box,,Dungeon container mechanic has no matching Cyber Sleuth item.,A box that is unbelievably heavy. Specific Pokémon adore the items inside.
box_light,Light Box,True,box,,Dungeon container mechanic has no matching Cyber Sleuth item.,A box that is somewhat light. Specific Pokémon adore the items inside.
box_nifty,Nifty Box,True,box,,Dungeon container mechanic has no matching Cyber Sleuth item.,A box that is completely impressive. There is something mysterious inside.
egg_mystery,Mystery Egg,True,egg,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An egg with bizarre colors that have never been seen before. What could this egg be?
empty,Empty,True,empty,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
evo_chipped_pot,Chipped Pot,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be chipped, but tea poured from it is delicious."
evo_cracked_pot,Cracked Pot,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be cracked, but tea poured from it is delicious."
evo_deep_sea_scale,Deep Sea Scale,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A pretty scale that shines faintly. It allows a certain kind of Pokémon to evolve.
evo_deep_sea_tooth,Deep Sea Tooth,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A supersharp fang with a subtle gleam. It allows a certain kind of Pokémon to evolve.
evo_dubious_disc,Dubious Disc,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,An enigmatic disc that overflows with dubious data. It allows a certain kind of Pokémon to evolve.
evo_electirizer,Electirizer,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A box full of a massive amount of electric energy. It allows a certain kind of Pokémon to evolve.
evo_everstone,Everstone,False,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,
evo_harmony_scarf,Harmony Scarf,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A scarf woven from the fibers of a legendary tree. It allows the Pokémon to evolve, regardless of its requirements."
evo_ice_stone,Ice Stone,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable snowflake pattern. If held, it changes the Pokémon's regular attacks and thrown items to Ice-type."
evo_kings_rock,King's Rock,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"An impressive icon that conveys a kingly nobility. When the holder successfully inflicts damage, the target may also flinch."
evo_leaf_stone,Leaf Stone,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A peculiar stone inscribed with a leafy pattern. It allows certain kinds of Pokémon to evolve. If held, it changes the Pokémon's regular attacks and thrown items to Grass-type."
evo_link_cable,Link Cable,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,An intriguing cable used for linking unknown devices. It allows a certain kind of Pokémon to evolve.
evo_lunar_ribbon,Lunar Ribbon,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A ribbon infused with moonlight. It allows a certain kind of Pokémon to evolve.
evo_magmarizer,Magmarizer,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A box brimming with a huge amount of magma energy. It allows a certain kind of Pokémon to evolve.
evo_oval_stone,Oval Stone,False,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A surprisingly smooth, rounded stone. It allows a certain kind of Pokémon to evolve."
evo_prism_scale,Prism Scale,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A mysterious scale that shines in rainbow colors. It allows a certain kind of Pokémon to evolve.
evo_protector,Protector,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A heavy, durable piece of protective equipment. It allows a certain kind of Pokémon to evolve."
evo_razor_claw,Razor Claw,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A wickedly sharp claw perfect for raking enemies. It increases the holder’s critical-hit ratio.
evo_razor_fang,Razor Fang,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A savagely sharp, piercing fang. When the holder successfully inflicts damage, the target may also flinch."
evo_reaper_cloth,Reaper Cloth,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,An eerie cloth imbued with horrifyingly strong spiritual energy. It allows a certain kind of Pokémon to evolve.
evo_sun_ribbon,Sun Ribbon,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A ribbon infused with sunshine. It allows a certain kind of Pokémon to evolve.
evo_up_grade,Up-Grade,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,A mysterious device filled with all sorts of data. It allows a certain kind of Pokémon to evolve.
evo_water_stone,Water Stone,True,evo,,Pokemon evolution or held effect has no matching remaining Cyber Sleuth unlock.,"A peculiar stone that holds the color of clearest blue. It allows certain kinds of Pokémon to evolve. If held, it changes the Pokémon's regular attacks and thrown items to Water-type."
food_apple,Apple,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,A food item that somewhat fills the Pokémon's belly.
food_apple_big,Big Apple,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,A food item that amply fills the Pokémon's belly.
food_apple_golden,Golden Apple,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,"A miraculous apple that glows with an alluring golden aura. It's far too precious and beautiful to even consider eating! If eaten, however, it would completely fill and greatly enlarge the Pokémon's belly."
food_apple_huge,Huge Apple,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,A food item that completely fills and slightly enlarges the Pokémon's belly.
food_apple_perfect,Perfect Apple,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,A food item that completely fills and somewhat enlarges the Pokémon's belly.
food_banana,Banana,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,A rare food item that somewhat fills the entire team's belly.
food_banana_big,Big Banana,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,A rare food item that amply fills the entire team's belly.
food_banana_golden,Golden Banana,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,"An alluring banana that gives off a golden glow. It's valued far more as a treasure than as a food. If eaten, however, it would completely fill and enlarge the entire team's belly."
food_chestnut,Chestnut,False,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,
food_grimy,Grimy Food,True,food,,Belly/hunger mechanic has no equivalent in the Cyber Sleuth item reference.,"A food item that somewhat fills the Pokémon's belly. However, it will also inflict a variety of status problems because it's covered in filthy grime. Be careful of what you eat!"
gummi_black,Black Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Maximum HP, and Dark-type Pokémon like it the most."
gummi_blue,Blue Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Maximum HP, and Water-type Pokémon like it the most."
gummi_brown,Brown Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Attack, and Ground-type Pokémon like it the most."
gummi_clear,Clear Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Special Defense, and Ice-type Pokémon like it the most."
gummi_foul,Foul Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly. However, it will also reduce the Pokémon's level by 1."
gummi_gold,Gold Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Special Attack, and Psychic-type Pokémon like it the most."
gummi_grass,Grass Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Special Defense, and Grass-type Pokémon like it the most."
gummi_gray,Gray Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Defense, and Rock-type Pokémon like it the most."
gummi_green,Green Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Speed, and Bug-type Pokémon like it the most."
gummi_magenta,Magenta Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Special Defense, and Fairy-type Pokémon like it the most."
gummi_orange,Orange Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Attack, and Fighting-type Pokémon like it the most."
gummi_pink,Pink Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Defense, and Poison-type Pokémon like it the most."
gummi_purple,Purple Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Special Attack, and Ghost-type Pokémon like it the most."
gummi_red,Red Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Special Attack, and Fire-type Pokémon like it the most."
gummi_royal,Royal Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Attack, and Dragon-type Pokémon like it the most."
gummi_silver,Silver Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Defense, and Steel-type Pokémon like it the most."
gummi_sky,Sky Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Speed, and Flying-type Pokémon like it the most."
gummi_white,White Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Maximum HP, and Normal-type Pokémon like it the most."
gummi_wonder,Wonder Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats."
gummi_yellow,Yellow Gummi,True,gummi,,Random type-favored growth and belly effects do not match a specific training food.,"A food item that somewhat fills the Pokémon's belly, and permanently boosts its stats. It usually boosts Speed, and Electric-type Pokémon like it the most."
held_assault_vest,Assault Vest,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"An offensive vest that raises Special Defense, but prevents the use of status moves. This item sticks when held."
held_big_root,Big Root,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A held item that increases HP recovery.
held_binding_band,Binding Band,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also be immobilized."
held_black_belt,Black Belt,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. This belt helps the wearer to focus and boosts the power of Fighting-type moves.
held_black_glasses,Black Glasses,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. A pair of shady-looking glasses that boost the power of Dark-type moves.
held_charcoal,Charcoal,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It is a combustible fuel that boosts the power of Fire-type moves.
held_choice_band,Choice Band,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A curious headband that boosts Attack, but only allows the use of one move. This item sticks when held."
held_choice_scarf,Choice Scarf,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A curious scarf that boosts Movement Speed, but only allows the use of one move. This item sticks when held."
held_choice_specs,Choice Specs,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"Distinctive glasses that boost Special Attack, but only allows the use of one move. This item sticks when held."
held_cover_band,Cover Band,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"An item to be held by a Pokémon. While the holder's HP is at half or above, it will take attacks for nearby allies."
held_draco_plate,Draco Plate,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It's a stone tablet that halves the damage of Dragon-type moves.
held_dragon_scale,Dragon Scale,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"An item to be held by a Pokémon. This thick, tough scale boosts the power of Dragon-type moves."
held_expert_belt,Expert Belt,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A well-worn belt that boosts the power of super-effective moves.
held_fickle_lens,Fickle Lens,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A held item that boosts the Pokémon's Attack Range, but prevents it from using the same move successively. This item sticks when held."
held_fist_plate,Fist Plate,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It's a stone tablet that halves the damage of Fighting-type moves.
held_flame_orb,Flame Orb,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A bizarre orb that will afflict the holder with a burn. This item sticks when held.
held_friend_bow,Friend Bow,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A held item that makes it easier for team members to recruit wild Pokémon.
held_goggle_specs,Goggle Specs,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A held item that enables the Pokémon to identify traps on the floor.
held_golden_mask,Golden Mask,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A held item that makes it easier for team members to recruit lower-leveled wild Pokémon.
held_grip_claw,Grip Claw,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item that increases the duration of binding moves used by the holder.
held_hard_stone,Hard Stone,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It is a durable stone that boosts the power of Rock-type moves.
held_heal_ribbon,Heal Ribbon,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A held item that speeds up the Pokémon's natural HP recovery. This item sticks when held.
held_icicle_plate,Icicle Plate,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It's a stone tablet that halves the damage of Ice-type moves.
held_insect_plate,Insect Plate,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It's a stone tablet that halves the damage of Bug-type moves.
held_iron_ball,Iron Ball,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A held item that weighs the Pokémon down, forcing it to pause between moves. It also allows Ground-type moves to hit Flying-type and levitating holders. This item sticks when held."
held_iron_plate,Iron Plate,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It's a stone tablet that halves the damage of Steel-type moves.
held_life_orb,Life Orb,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A held item that boosts the power of moves, but at the cost of some HP on each use. This item sticks when held."
held_magnet,Magnet,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It is a powerful magnet that boosts the power of Electric-type moves.
held_metal_coat,Metal Coat,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It is a special metallic film that can boost the power of Steel-type moves.
held_metronome,Metronome,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"An item to be held by a Pokémon. It boosts moves used consecutively, but only until a different move is used."
held_mind_plate,Mind Plate,True,held,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,An item to be held by a Pokémon. It's a stone tablet that halves the damage of Psychic-type moves.
