"id","name","proposed_family","official_fields","assignment_kind","reason","source_url"
"apocalymon","Apocalymon","Deep Savers","Dark Area | Deep Savers | Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"arcadiamon_champion","Arcadiamon Champion","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"arcadiamon_in_tr","Arcadiamon In-Tr.","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"arcadiamon_mega","Arcadiamon Mega","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"arcadiamon_rookie","Arcadiamon Rookie","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"arcadiamon_ultimate","Arcadiamon Ultimate","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"arcadiamon_ultra","Arcadiamon Ultra","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"armadillomon","Armadillomon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"armageddemon","Armageddemon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"bancholeomon","BanchoLeomon","Virus Busters","Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"baohuckmon","BaoHuckmon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"barbamon","Barbamon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"beelzemon","Beelzemon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"beelzemon_bm","Beelzemon BM","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"belphemon_rm","Belphemon RM","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"belphemon_sm","Belphemon SM","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"birdramon","Birdramon","Wind Guardians","Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"biyomon","Biyomon","Wind Guardians","Jungle Troopers | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"blackgatomon","BlackGatomon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"blackwargreymon","BlackWarGreymon","Dragon's Roar","Dragon's Roar | Metal Empire","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire"
"bluemeramon","BlueMeramon","Dragon's Roar","Dragon's Roar | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nightmare_Soldiers"
"boltmon","Boltmon","Metal Empire","Metal Empire | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nightmare_Soldiers"
"botamon","Botamon","Virus Busters","Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"breakdramon","Breakdramon","Dragon's Roar","Dragon's Roar | Metal Empire","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire"
"bukamon","Bukamon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"burninggreymon","BurningGreymon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"cannonbeemon","CannonBeemon","Metal Empire","Metal Empire | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Wind_Guardians"
"chaosdramon","Chaosdramon","Dragon's Roar","Dragon's Roar | Metal Empire","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire"
"chaosgallantmon","ChaosGallantmon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"chaosmon","Chaosmon","Virus Busters","Unknown | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Virus_Busters"
"chaosmon_va","Chaosmon VA","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"cherrymon","Cherrymon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"chirinmon","Chirinmon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"chuumon","Chuumon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"craniamon","Craniamon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"creepymon","Creepymon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"crowmon","Crowmon","Wind Guardians","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"crusadermon","Crusadermon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"crusadermon_nx","Crusadermon NX","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"cyberdramon","Cyberdramon","Dragon's Roar","Dragon's Roar | Metal Empire | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"cyclonemon","Cyclonemon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"darkdramon","Darkdramon","Metal Empire","Dark Area | Metal Empire","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Metal_Empire"
"datamon","Datamon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"demidevimon","DemiDevimon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"devimon","Devimon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"diaboromon","Diaboromon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"dianamon","Dianamon","Deep Savers","Deep Savers | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nature_Spirits"
"digitamamon","Digitamamon","Nightmare Soldiers","Nightmare Soldiers | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown"
"dinobeemon","Dinobeemon","Jungle Troopers","Jungle Troopers | Metal Empire | Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"dorugamon","Dorugamon","Dragon's Roar","Dragon's Roar | Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"dorugoramon","Dorugoramon","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"dorugreymon","DoruGreymon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"dorumon","Dorumon","Dragon's Roar","Dragon's Roar | Nature Spirits | Nightmare Soldiers | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters"
"dracmon","Dracmon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"dragomon","Dragomon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"duramon","Duramon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"ebemon","Ebemon","Metal Empire","Dark Area | Metal Empire | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown"
"elecmon","Elecmon","Metal Empire","Deep Savers | Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"etemon","Etemon","Deep Savers","Deep Savers | Metal Empire | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown"
"examon","Examon","Dragon's Roar","Dragon's Roar | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Virus_Busters"
"exveemon","ExVeemon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"fanbeemon","FanBeemon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"flamedramon","Flamedramon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"frigimon","Frigimon","Deep Savers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"gabumon","Gabumon","Nature Spirits","Metal Empire | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"gaiomon","Gaiomon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"gallantmon","Gallantmon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"gallantmon_cm","Gallantmon CM","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"gallantmon_nx","Gallantmon NX","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"gaomon","Gaomon","Dragon's Roar","Dragon's Roar | Jungle Troopers | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Nature_Spirits"
"garudamon","Garudamon","Wind Guardians","Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"garurumon","Garurumon","Wind Guardians","Metal Empire | Nature Spirits | Nightmare Soldiers | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"garurumon_blk","Garurumon (Blk)","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"gatomon","Gatomon","Virus Busters","Nature Spirits | Nightmare Soldiers | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters"
"gazimon","Gazimon","Nightmare Soldiers","Nature Spirits | Nightmare Soldiers | Unknown | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Wind_Guardians"
"geogreymon","GeoGreymon","Dragon's Roar","Dragon's Roar | Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"geremon","Geremon","Metal Empire","Metal Empire | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Unknown"
"gigadramon","Gigadramon","Dragon's Roar","Dragon's Roar | Metal Empire | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Wind_Guardians"
"ginryumon","Ginryumon","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"goblimon","Goblimon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"goldramon","Goldramon","Virus Busters","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"golemon","Golemon","Metal Empire","Metal Empire | Nature Spirits | Unknown","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Unknown"
"gotsumon","Gotsumon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"grademon","Grademon","Metal Empire","Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"grandracmon","GranDracmon","Nightmare Soldiers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"grankuwagamon","GranKuwagamon","Jungle Troopers","Jungle Troopers | Metal Empire | Nature Spirits | Nightmare Soldiers | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Jungle_Troopers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Wind_Guardians"
"grapleomon","GrapLeomon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"greymon","Greymon","Dragon's Roar","Deep Savers | Dragon's Roar | Metal Empire | Nature Spirits | Nightmare Soldiers | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Virus_Busters"
"greymon_blue","Greymon (Blue)","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"groundlocomon","GroundLocomon","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"growlmon","Growlmon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"gryphonmon","Gryphonmon","Wind Guardians","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"guardromon_gold","Guardromon (Gold)","Metal Empire","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"guilmon","Guilmon","Dragon's Roar","Deep Savers | Dragon's Roar | Metal Empire | Nature Spirits | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters"
"hackmon","Hackmon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"herculeskabuterimon","HerculesKabuterimon","Jungle Troopers","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"hippogryphonmon","HippoGryphonmon","Wind Guardians","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"hisyaryumon","Hisyaryumon","Dragon's Roar","Dragon's Roar | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits"
"hououmon","Hououmon","Wind Guardians","Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"icedevimon","IceDevimon","Nightmare Soldiers","Dark Area | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dark_Area | https://wikimon.net/Category:Nightmare_Soldiers"
"icemon","Icemon","Deep Savers","Deep Savers | Nature Spirits | Nightmare Soldiers","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers"
"imperialdramon_dm","Imperialdramon DM","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
